timestamp,direction,port,arb_id,arb_dev_type,arb_mfr,api_class,api_index,device_id,payload_hex,description
2026-03-08T19:52:29.918318,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.938331,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.957857,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.977855,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.997856,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 94 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.017853,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 98 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.037924,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.058410,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.078407,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 99 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.098408,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 93 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.118407,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.138419,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 99 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.151422,RX,COM7,0x0205b869,0x2,0x05,0x2e,0x1,41,00 00 00 20 00 41 00 00,"Status frame 1 (new)"
2026-03-08T19:52:30.158955,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.177940,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.197940,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 99 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.217977,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 94 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.237953,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.258557,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 96 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.278557,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.298523,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 99 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:30.318524,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 99 06 00 19 80 00,"Status frame 0 (new)"
